Respondent,Tweet,College,Ideology,Engagement_Like,Engagement_Retweet with quote,Engagement_Retweet without quote,Engagement_Click on author's profile,Engagement_View replies,Engagement_Write reply,Engagement_Ignore/keep scrolling,Reaction_Fear,Reaction_Hope,Reaction_Sadness,Reaction_Joy,Reaction_Distress,Reaction_Relief,Reaction_Frustration,Reaction_Empathy,Reaction_Dissension,Reaction_Agreement,Reaction_NONE
1,1,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,2,duke university,Moderately Conservative,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,3,duke university,Moderately Conservative,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1,4,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,5,duke university,Moderately Conservative,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,6,duke university,Moderately Conservative,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,7,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,8,duke university,Moderately Conservative,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,9,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,10,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,11,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,12,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,13,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,14,duke university,Moderately Conservative,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1,15,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,16,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,17,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,18,duke university,Moderately Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2,1,duke university,Liberal,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
2,2,duke university,Liberal,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,duke university,Liberal,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0
2,4,duke university,Liberal,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,duke university,Liberal,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2,6,duke university,Liberal,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,7,duke university,Liberal,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,8,duke university,Liberal,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0
2,9,duke university,Liberal,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2,10,duke university,Liberal,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2,11,duke university,Liberal,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2,12,duke university,Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,13,duke university,Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,14,duke university,Liberal,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
2,15,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
2,16,duke university,Liberal,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
2,17,duke university,Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,18,duke university,Liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,duke university,Liberal,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
3,2,duke university,Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,3,duke university,Liberal,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0
3,4,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,5,duke university,Liberal,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
3,6,duke university,Liberal,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0
3,7,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3,8,duke university,Liberal,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
3,9,duke university,Liberal,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
3,10,duke university,Liberal,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
3,11,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
3,12,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
3,13,duke university,Liberal,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
3,14,duke university,Liberal,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0
3,15,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,16,duke university,Liberal,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
